timestamp,event_type,run_id,mode,shard,conditions,job_id,status,slurm_state,exit_code,git_commit,config_hash,remote_run_dir,notes
2026-08-26T15:05:00Z,launched,pendatlas__smoke_nominal__s7,smoke,0/1,1,4552,launched,RUNNING,,c02bffadfbac6c789e0b112cd0a37043d56f6970,f690e3e94578c3cf9c1570230c2c9abf4588e2b2980218510cf91b4062a0a9b9,outputs/pendulum_frontier_atlas/pendatlas__smoke_nominal__s7/attempt_1,"nominal restore/evaluator smoke"
2026-08-26T15:05:00Z,launched,pendatlas__broad_shard0of4__s7,full,0/4,6,4553_0,dependency,PENDING,,c02bffadfbac6c789e0b112cd0a37043d56f6970,766223051b448d1a29bb4b4e701e827d322191c423dfac5ce5395ebbd112055b,outputs/pendulum_frontier_atlas/pendatlas__broad_shard0of4__s7/attempt_1,"afterok:4552"
2026-08-26T15:05:00Z,launched,pendatlas__broad_shard1of4__s7,full,1/4,6,4553_1,dependency,PENDING,,c02bffadfbac6c789e0b112cd0a37043d56f6970,09236a4039b8895a50666e02ee547e46e17d6355d8e8648a9e8749bc18f9098f,outputs/pendulum_frontier_atlas/pendatlas__broad_shard1of4__s7/attempt_1,"afterok:4552"
2026-08-26T15:05:00Z,launched,pendatlas__broad_shard2of4__s7,full,2/4,6,4553_2,dependency,PENDING,,c02bffadfbac6c789e0b112cd0a37043d56f6970,add8689730ebf01614a89a272abd54d319942867addc1fe8d30755eeae8fbbdb,outputs/pendulum_frontier_atlas/pendatlas__broad_shard2of4__s7/attempt_1,"afterok:4552"
2026-08-26T15:05:00Z,launched,pendatlas__broad_shard3of4__s7,full,3/4,6,4553_3,dependency,PENDING,,c02bffadfbac6c789e0b112cd0a37043d56f6970,b4da8a5f244a4da4a3cb97ddcba8cf90ba8555038c6f573f4f5bc0302165c2d2,outputs/pendulum_frontier_atlas/pendatlas__broad_shard3of4__s7/attempt_1,"afterok:4552"
2026-08-26T15:05:00Z,launched,pendatlas__aggregate__s7,aggregate,all,24,4554,dependency,PENDING,,c02bffadfbac6c789e0b112cd0a37043d56f6970,,outputs/pendulum_frontier_atlas/aggregate/attempt_1,"afterok:4553"
2026-08-26T15:06:00Z,failed,pendatlas__smoke_nominal__s7,smoke,0/1,1,4552,deterministic_failure,FAILED,,c02bffadfbac6c789e0b112cd0a37043d56f6970,f690e3e94578c3cf9c1570230c2c9abf4588e2b2980218510cf91b4062a0a9b9,outputs/pendulum_frontier_atlas/pendatlas__smoke_nominal__s7/attempt_1,"analysis script invoked by path; Python searched scripts/ rather than repository root and could not import tdmpc2_jax.frontier_atlas; no evaluator or scientific work ran"
2026-08-26T15:29:40Z,cancelled,pendatlas__broad_shard0of4__s7,full,0/4,6,4553_0,dependency_dead,CANCELLED,0:0,c02bffadfbac6c789e0b112cd0a37043d56f6970,766223051b448d1a29bb4b4e701e827d322191c423dfac5ce5395ebbd112055b,outputs/pendulum_frontier_atlas/pendatlas__broad_shard0of4__s7/attempt_1,"never started; cancelled after smoke 4552 failed"
2026-08-26T15:29:40Z,cancelled,pendatlas__broad_shard1of4__s7,full,1/4,6,4553_1,dependency_dead,CANCELLED,0:0,c02bffadfbac6c789e0b112cd0a37043d56f6970,09236a4039b8895a50666e02ee547e46e17d6355d8e8648a9e8749bc18f9098f,outputs/pendulum_frontier_atlas/pendatlas__broad_shard1of4__s7/attempt_1,"never started; cancelled after smoke 4552 failed"
2026-08-26T15:29:40Z,cancelled,pendatlas__broad_shard2of4__s7,full,2/4,6,4553_2,dependency_dead,CANCELLED,0:0,c02bffadfbac6c789e0b112cd0a37043d56f6970,add8689730ebf01614a89a272abd54d319942867addc1fe8d30755eeae8fbbdb,outputs/pendulum_frontier_atlas/pendatlas__broad_shard2of4__s7/attempt_1,"never started; cancelled after smoke 4552 failed"
2026-08-26T15:29:40Z,cancelled,pendatlas__broad_shard3of4__s7,full,3/4,6,4553_3,dependency_dead,CANCELLED,0:0,c02bffadfbac6c789e0b112cd0a37043d56f6970,b4da8a5f244a4da4a3cb97ddcba8cf90ba8555038c6f573f4f5bc0302165c2d2,outputs/pendulum_frontier_atlas/pendatlas__broad_shard3of4__s7/attempt_1,"never started; cancelled after smoke 4552 failed"
2026-08-26T15:29:40Z,cancelled,pendatlas__aggregate__s7,aggregate,all,24,4554,dependency_dead,CANCELLED,0:0,c02bffadfbac6c789e0b112cd0a37043d56f6970,,outputs/pendulum_frontier_atlas/aggregate/attempt_1,"never started; cancelled after array 4553 could not run"
2026-08-26T15:30:20Z,launched,pendatlas__smoke_nominal__s7,smoke,0/1,1,4555,launched,RUNNING,,4d1f3ace085a294026fef2a744c86be936f80bad,01dd06b184603d4dc7923cbac25366094c5193b5709e19e7005995da36a9d1e3,outputs/pendulum_frontier_atlas/pendatlas__smoke_nominal__s7/attempt_2,"repaired module-invocation smoke"
2026-08-26T15:30:20Z,launched,pendatlas__broad_shard0of4__s7,full,0/4,6,4556_0,dependency,PENDING,,4d1f3ace085a294026fef2a744c86be936f80bad,699442aa62320f9eff038d4fb401e7067c98e827457aabe122ab9e1f90106a16,outputs/pendulum_frontier_atlas/pendatlas__broad_shard0of4__s7/attempt_2,"afterok:4555"
2026-08-26T15:30:20Z,launched,pendatlas__broad_shard1of4__s7,full,1/4,6,4556_1,dependency,PENDING,,4d1f3ace085a294026fef2a744c86be936f80bad,9a40f4b7620f6a0d7395f2bc968d0501215dde098a6baa38f450057788ce995d,outputs/pendulum_frontier_atlas/pendatlas__broad_shard1of4__s7/attempt_2,"afterok:4555"
2026-08-26T15:30:20Z,launched,pendatlas__broad_shard2of4__s7,full,2/4,6,4556_2,dependency,PENDING,,4d1f3ace085a294026fef2a744c86be936f80bad,ba66376ad09cd54053eef7e597d764024b48e6aab334311355449233f3b822d9,outputs/pendulum_frontier_atlas/pendatlas__broad_shard2of4__s7/attempt_2,"afterok:4555"
2026-08-26T15:30:20Z,launched,pendatlas__broad_shard3of4__s7,full,3/4,6,4556_3,dependency,PENDING,,4d1f3ace085a294026fef2a744c86be936f80bad,f10cdbb658e58caa9d53856833c062a672c030d74c7c31abdf6d69fdccafe3a4,outputs/pendulum_frontier_atlas/pendatlas__broad_shard3of4__s7/attempt_2,"afterok:4555"
2026-08-26T15:30:20Z,launched,pendatlas__aggregate__s7,aggregate,all,24,4557,dependency,PENDING,,4d1f3ace085a294026fef2a744c86be936f80bad,,outputs/pendulum_frontier_atlas/aggregate/attempt_2,"afterok:4556"
2026-08-26T15:31:06Z,completed,pendatlas__smoke_nominal__s7,smoke,0/1,1,4555,valid,COMPLETED,0:0,4d1f3ace085a294026fef2a744c86be936f80bad,01dd06b184603d4dc7923cbac25366094c5193b5709e19e7005995da36a9d1e3,outputs/pendulum_frontier_atlas/pendatlas__smoke_nominal__s7/attempt_2,"46s elapsed; restore passed; 7 summary and 28 paired rows finite; both validators passed"
