step,env_index,episode_index,episode_return,episode_length,selected_horizon
3992,0,0,72.1569595336914,500,3
3993,1,0,29.684316635131836,500,3
3994,2,0,82.54608154296875,500,3
3995,3,0,9.121024131774902,500,3
3996,4,0,22.40764808654785,500,3
3997,5,0,71.88597869873047,500,3
3998,6,0,10.710114479064941,500,3
3999,7,0,46.9861946105957,500,3
7992,0,1,159.08799743652344,500,3
7993,1,1,161.99380493164062,500,3
7994,2,1,159.66122436523438,500,3
7995,3,1,163.4918670654297,500,3
7996,4,1,161.1474151611328,500,3
7997,5,1,167.9485626220703,500,3
7998,6,1,160.50418090820312,500,3
7999,7,1,159.85440063476562,500,3
11992,0,2,227.348388671875,500,3
11993,1,2,297.64385986328125,500,3
11994,2,2,215.3788604736328,500,3
11995,3,2,216.326171875,500,3
11996,4,2,270.8783874511719,500,3
11997,5,2,245.36048889160156,500,3
11998,6,2,250.22560119628906,500,3
11999,7,2,278.930908203125,500,3
15992,0,3,544.6407470703125,500,3
15993,1,3,263.9523010253906,500,3
15994,2,3,305.09539794921875,500,3
15995,3,3,327.2586364746094,500,3
15996,4,3,350.3433532714844,500,3
15997,5,3,360.5522155761719,500,3
15998,6,3,341.2438049316406,500,3
15999,7,3,361.4115905761719,500,3
19992,0,4,606.6452026367188,500,3
19993,1,4,609.2899780273438,500,3
19994,2,4,602.8533935546875,500,3
19995,3,4,608.6561279296875,500,3
19996,4,4,607.5490112304688,500,3
19997,5,4,604.2691650390625,500,3
19998,6,4,608.3999633789062,500,3
19999,7,4,607.2136840820312,500,3
23992,0,5,553.9216918945312,500,3
23993,1,5,559.1126708984375,500,3
23994,2,5,560.9141235351562,500,3
23995,3,5,558.0516357421875,500,3
23996,4,5,559.77783203125,500,3
23997,5,5,560.4027099609375,500,3
23998,6,5,557.568359375,500,3
23999,7,5,563.9132690429688,500,3
27992,0,6,575.0977172851562,500,3
27993,1,6,571.9086303710938,500,3
27994,2,6,574.8515625,500,3
27995,3,6,571.5859985351562,500,3
27996,4,6,574.4690551757812,500,3
27997,5,6,574.166015625,500,3
27998,6,6,572.5679931640625,500,3
27999,7,6,571.3584594726562,500,3
31992,0,7,724.8572998046875,500,3
31993,1,7,723.4676513671875,500,3
31994,2,7,724.4344482421875,500,3
31995,3,7,664.4720458984375,500,3
31996,4,7,654.1845092773438,500,3
31997,5,7,653.3587036132812,500,3
31998,6,7,719.6492309570312,500,3
31999,7,7,633.20947265625,500,3
35992,0,8,712.9277954101562,500,3
35993,1,8,712.1248779296875,500,3
35994,2,8,710.9061889648438,500,3
35995,3,8,712.7782592773438,500,3
35996,4,8,710.9177856445312,500,3
35997,5,8,710.5589599609375,500,3
35998,6,8,713.0170288085938,500,3
35999,7,8,712.5162963867188,500,3
39992,0,9,785.5244140625,500,3
39993,1,9,785.968994140625,500,3
39994,2,9,783.6420288085938,500,3
39995,3,9,785.7334594726562,500,3
39996,4,9,787.0520629882812,500,3
39997,5,9,785.5413208007812,500,3
39998,6,9,782.7461547851562,500,3
39999,7,9,784.6273193359375,500,3
43992,0,10,806.2744140625,500,3
43993,1,10,805.8182373046875,500,3
43994,2,10,807.4027709960938,500,3
43995,3,10,807.363037109375,500,3
43996,4,10,805.2319946289062,500,3
43997,5,10,807.2501831054688,500,3
43998,6,10,804.7994995117188,500,3
43999,7,10,806.4083862304688,500,3
47992,0,11,756.4537963867188,500,3
47993,1,11,755.60595703125,500,3
47994,2,11,754.9124145507812,500,3
47995,3,11,755.8328247070312,500,3
47996,4,11,755.0943603515625,500,3
47997,5,11,754.8318481445312,500,3
47998,6,11,755.4993896484375,500,3
47999,7,11,756.4041137695312,500,3
