step,tag,value
3992,episode/return,72.1569595336914
3992,episode/length,500.0
3993,episode/return,29.684316635131836
3993,episode/length,500.0
3994,episode/return,82.54608154296875
3994,episode/length,500.0
3995,episode/return,9.121024131774902
3995,episode/length,500.0
3996,episode/return,22.40764808654785
3996,episode/length,500.0
3997,episode/return,71.88597869873047
3997,episode/length,500.0
3998,episode/return,10.710114479064941
3998,episode/length,500.0
3999,episode/return,46.9861946105957
3999,episode/length,500.0
4000,timing/collect_chunk_s,240.33965856209397
4000,timing/train_chunk_s,0.0
4000,dense_rhs/training_bucket_horizon,3.0
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,512.0
4000,timing/collect_chunk_s,0.0
4000,timing/train_chunk_s,73.25223032012582
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1024.0
4000,timing/collect_chunk_s,0.0
4000,timing/train_chunk_s,74.36484091170132
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,1536.0
4000,timing/collect_chunk_s,0.0
4000,timing/train_chunk_s,75.47813536040485
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2048.0
4000,timing/collect_chunk_s,0.0
4000,timing/train_chunk_s,76.59238963760436
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,2560.0
4000,timing/collect_chunk_s,0.0
4000,timing/train_chunk_s,77.70748111791909
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3072.0
4000,timing/collect_chunk_s,0.0
4000,timing/train_chunk_s,78.8220462538302
4000,system/heartbeat,1.0
4000,seed_pretrain/updates_completed,3584.0
4000,timing/collect_chunk_s,0.0
4000,timing/train_chunk_s,79.93671912699938
4000,system/heartbeat,1.0
5000,eval/return_mean,169.53427124023438
5000,eval/return_std,1.4142855405807495
5000,eval/return_max,172.70230102539062
5000,eval/return_min,167.61338806152344
5000,timing/eval_s,42.4057541154325
5000,eval/selected_horizon,3.0
5000,eval/training_bucket_horizon,3.0
5000,system/heartbeat,1.0
6504,train/consistency_loss_mean,8.796938365232758e-05
6504,train/consistency_loss_std,0.0004503655209092879
6504,train/continue_loss_mean,0.0
6504,train/continue_loss_std,0.0
6504,train/grad_norm_mean,0.20701874810446233
6504,train/grad_norm_std,0.12173484804100064
6504,train/policy_log_std_mean,-0.7389324053773727
6504,train/policy_log_std_std,0.5784761052793377
6504,train/policy_loss_mean,-0.4510834870303249
6504,train/policy_loss_std,0.15536494638174136
6504,train/reward_loss_mean,0.22737981296553383
6504,train/reward_loss_std,0.10723462521065738
6504,train/total_loss_mean,0.05201731388529288
6504,train/total_loss_std,0.029834722192531
6504,train/value_loss_mean,0.27519943976607564
6504,train/value_loss_std,0.10538908928794317
6504,train/value_scale_mean,5.764003443395373
6504,train/value_scale_std,2.83129757271735
6504,timing/collect_chunk_s,173.25170539692044
6504,timing/train_chunk_s,125.58900422416627
6504,dense_rhs/training_bucket_horizon,3.0
6504,system/heartbeat,1.0
7992,episode/return,159.08799743652344
7992,episode/length,500.0
7993,episode/return,161.99380493164062
7993,episode/length,500.0
7994,episode/return,159.66122436523438
7994,episode/length,500.0
7995,episode/return,163.4918670654297
7995,episode/length,500.0
7996,episode/return,161.1474151611328
7996,episode/length,500.0
7997,episode/return,167.9485626220703
7997,episode/length,500.0
7998,episode/return,160.50418090820312
7998,episode/length,500.0
7999,episode/return,159.85440063476562
7999,episode/length,500.0
9008,train/consistency_loss_mean,2.5595983011668886e-05
9008,train/consistency_loss_std,7.887384330448042e-06
9008,train/continue_loss_mean,0.0
9008,train/continue_loss_std,0.0
9008,train/grad_norm_mean,0.2695681329447621
9008,train/grad_norm_std,0.14849334353974175
9008,train/policy_log_std_mean,-0.7669419154953271
9008,train/policy_log_std_std,0.3765149679963849
9008,train/policy_loss_mean,-0.6567062221396084
9008,train/policy_loss_std,0.031215626564399322
9008,train/reward_loss_mean,0.23946093998777981
9008,train/reward_loss_std,0.00838526931669829
9008,train/total_loss_mean,0.05013145477817462
9008,train/total_loss_std,0.0013341488508006188
9008,train/value_loss_mean,0.256734398702463
9008,train/value_loss_std,0.011212998314185346
9008,train/value_scale_mean,11.810723329123597
9008,train/value_scale_std,1.1667824628382033
9008,timing/collect_chunk_s,110.95371586829424
9008,timing/train_chunk_s,4.424900712445378
9008,dense_rhs/training_bucket_horizon,3.0
9008,system/heartbeat,1.0
10000,eval/return_mean,232.96078491210938
10000,eval/return_std,38.778594970703125
10000,eval/return_max,292.6253662109375
10000,eval/return_min,176.63555908203125
10000,timing/eval_s,7.298011217266321
10000,eval/selected_horizon,3.0
10000,eval/training_bucket_horizon,3.0
10000,system/heartbeat,1.0
11512,train/consistency_loss_mean,3.01853187484782e-05
11512,train/consistency_loss_std,7.152741072044333e-06
11512,train/continue_loss_mean,0.0
11512,train/continue_loss_std,0.0
11512,train/grad_norm_mean,0.2390492795564877
11512,train/grad_norm_std,0.10875173938303075
11512,train/policy_log_std_mean,-0.8482615269791965
11512,train/policy_log_std_std,0.4291913183466599
11512,train/policy_loss_mean,-0.5277826710821341
11512,train/policy_loss_std,0.028549126558943982
11512,train/reward_loss_mean,0.25047016967409336
11512,train/reward_loss_std,0.008018766201252183
11512,train/total_loss_mean,0.05345377693779933
11512,train/total_loss_std,0.0017492074484092243
11512,train/value_loss_mean,0.27803052471468626
11512,train/value_loss_std,0.016515993895311606
11512,train/value_scale_mean,21.334275443713885
11512,train/value_scale_std,2.554906325996246
11512,timing/collect_chunk_s,109.83438569679856
11512,timing/train_chunk_s,4.452579617500305
11512,dense_rhs/training_bucket_horizon,3.0
11512,system/heartbeat,1.0
11992,episode/return,227.348388671875
11992,episode/length,500.0
11993,episode/return,297.64385986328125
11993,episode/length,500.0
11994,episode/return,215.3788604736328
11994,episode/length,500.0
11995,episode/return,216.326171875
11995,episode/length,500.0
11996,episode/return,270.8783874511719
11996,episode/length,500.0
11997,episode/return,245.36048889160156
11997,episode/length,500.0
11998,episode/return,250.22560119628906
11998,episode/length,500.0
11999,episode/return,278.930908203125
11999,episode/length,500.0
14016,train/consistency_loss_mean,3.054953148662367e-05
14016,train/consistency_loss_std,1.5157408288528118e-05
14016,train/continue_loss_mean,0.0
14016,train/continue_loss_std,0.0
14016,train/grad_norm_mean,0.28982578084682126
14016,train/grad_norm_std,0.22055506439018402
14016,train/policy_log_std_mean,-1.0206825222831946
14016,train/policy_log_std_std,0.6069774856316069
14016,train/policy_loss_mean,-0.6957350066675546
14016,train/policy_loss_std,0.09757730476296539
14016,train/reward_loss_mean,0.2534078377218673
14016,train/reward_loss_std,0.0074684678748903575
14016,train/total_loss_mean,0.050579407618354305
14016,train/total_loss_std,0.001661853044950023
14016,train/value_loss_mean,0.2462763211692865
14016,train/value_loss_std,0.012890184568893551
14016,train/value_scale_mean,22.838709279752006
14016,train/value_scale_std,1.873786734484076
14016,timing/collect_chunk_s,112.47962857037783
14016,timing/train_chunk_s,4.484467627480626
14016,dense_rhs/training_bucket_horizon,3.0
14016,system/heartbeat,1.0
15000,eval/return_mean,683.8250732421875
15000,eval/return_std,7.30444860458374
15000,eval/return_max,692.8338623046875
15000,eval/return_min,670.5950927734375
15000,timing/eval_s,6.5319409389048815
15000,eval/selected_horizon,3.0
15000,eval/training_bucket_horizon,3.0
15000,system/heartbeat,1.0
15992,episode/return,544.6407470703125
15992,episode/length,500.0
15993,episode/return,263.9523010253906
15993,episode/length,500.0
15994,episode/return,305.09539794921875
15994,episode/length,500.0
15995,episode/return,327.2586364746094
15995,episode/length,500.0
15996,episode/return,350.3433532714844
15996,episode/length,500.0
15997,episode/return,360.5522155761719
15997,episode/length,500.0
15998,episode/return,341.2438049316406
15998,episode/length,500.0
15999,episode/return,361.4115905761719
15999,episode/length,500.0
16520,train/consistency_loss_mean,1.9949919162765362e-05
16520,train/consistency_loss_std,4.572203002981914e-06
16520,train/continue_loss_mean,0.0
16520,train/continue_loss_std,0.0
16520,train/grad_norm_mean,0.16292393378937206
16520,train/grad_norm_std,0.0621509754350264
16520,train/policy_log_std_mean,-1.3693491555631352
16520,train/policy_log_std_std,0.6501206945555076
16520,train/policy_loss_mean,-0.6123425899603115
16520,train/policy_loss_std,0.0728221454987405
16520,train/reward_loss_mean,0.2586237154067896
