env_id,regime,seed,fixed_final_score,rhs_final_score,fixed_parity_step,paper_score,paper_score_step,rhs_wall_hours,matched_fixed_wall_hours,max_steps
cartpole-swingup,chaos,1,814.092,816.386,,,,2.0417,1.7642,500000
cartpole-swingup,chaos,15,859.191,860.571,,,,2.1781,1.8119,500000
cartpole-swingup,chaos,7,856.469,861.539,,,,2.1478,1.7828,500000
cartpole-swingup,clean,1,882.118,864.924,,,,1.9489,1.375,500000
cartpole-swingup,clean,15,864.486,879.807,,,,1.8614,1.3714,500000
cartpole-swingup,clean,7,878.423,882.384,,,,1.6233,1.3653,500000
cheetah-run,chaos,1,354.477,501.057,,,,2.3636,1.9397,500000
cheetah-run,chaos,15,528.19,540.944,,,,2.1908,1.9486,500000
cheetah-run,chaos,7,515.359,595.944,,,,2.1036,1.9381,500000
cheetah-run,clean,1,926.154,946.552,,,,1.6178,1.5064,500000
cheetah-run,clean,15,850.736,905.613,,,,1.6339,1.4961,500000
cheetah-run,clean,7,943.961,942.65,,,,1.6353,1.5033,500000
finger-turn_hard,chaos,1,651,448.7,,,,2.0511,1.9503,500000
finger-turn_hard,chaos,15,510.1,753.45,,,,2.0622,1.9692,500000
finger-turn_hard,chaos,7,580.45,838.75,,,,2.2081,1.9353,500000
finger-turn_hard,clean,1,772.7,918.8,,,,1.6567,1.4947,500000
finger-turn_hard,clean,15,884.6,928.9,,,,1.6033,1.4978,500000
finger-turn_hard,clean,7,818.2,916.95,,,,1.6036,1.5031,500000
fish-swim,clean,1,648.558,658.269,,,,1.5214,1.4044,500000
fish-swim,clean,15,645.431,543.236,,,,1.5189,1.3894,500000
fish-swim,clean,7,723.557,674.227,,,,1.5108,1.4208,500000
hopper-hop,chaos,1,166.819,278.097,,,,2.4625,2.145,500000
hopper-hop,chaos,15,158.23,138.971,,,,2.5467,2.1658,500000
hopper-hop,chaos,7,292.399,159.09,,,,2.5819,2.1378,500000
hopper-hop,clean,1,542.805,570.146,,,,1.8286,1.7208,500000
hopper-hop,clean,15,559.276,357.923,,,,1.8725,1.7308,500000
hopper-hop,clean,7,514.885,469.663,,,,1.8572,1.7144,500000
quadruped-run,chaos,1,660.833,732.885,,,,2.64,2.4253,500000
quadruped-run,chaos,15,576.135,810.007,,,,2.5639,2.4244,500000
quadruped-run,chaos,7,807.768,722.116,,,,2.5597,2.4144,500000
quadruped-run,clean,1,881.836,913.604,,,,2.1294,1.9267,500000
quadruped-run,clean,15,910.955,923.768,,,,2.2486,1.9872,500000
quadruped-run,clean,7,879.293,839.896,,,,2.0992,1.955,500000
