scope,n,mean_pct_delta_vs_baseline,var_pct_delta_vs_baseline,std_pct_delta_vs_baseline,rhs_wins,rhs_win_rate
all_valid_pairs,97,4.09608,372.998,19.3131,58,0.597938
regime=chaos,47,6.67585,575.874,23.9974,30,0.638298
regime=clean,50,1.6711,177.77,13.333,28,0.56
env=acrobot-swingup,12,5.63237,324.245,18.0068,9,0.75
env=cartpole-swingup,12,-0.104741,1.42622,1.19425,7,0.583333
env=cheetah-run,12,5.17002,279.261,16.7111,9,0.75
env=cup-catch,4,-1.18346,7.4122,2.72254,2,0.5
env=finger-turn_hard,12,14.8716,555.625,23.5717,9,0.75
env=fish-swim,3,-7.05135,75.1301,8.66776,1,0.333333
env=hopper-hop,12,1.67943,1149.05,33.8976,5,0.416667
env=pendulum-swingup,3,21.103,1738.64,41.6971,1,0.333333
env=quadruped-run,12,3.5862,182.398,13.5055,7,0.583333
env=reacher-hard,3,-9.18324,445.167,21.099,2,0.666667
env=walker-run,12,1.45245,15.4791,3.93435,6,0.5
"env=acrobot-swingup,regime=chaos",6,0.386395,217.789,14.7577,4,0.666667
"env=acrobot-swingup,regime=clean",6,10.8783,429.502,20.7244,5,0.833333
"env=cartpole-swingup,regime=chaos",6,-0.220516,0.656848,0.810461,3,0.5
"env=cartpole-swingup,regime=clean",6,0.0110334,2.44868,1.56482,4,0.666667
"env=cheetah-run,regime=chaos",6,7.92887,583.898,24.164,5,0.833333
"env=cheetah-run,regime=clean",6,2.41116,12.2086,3.49407,4,0.666667
"env=cup-catch,regime=chaos",2,-2.34923,16.7936,4.098,1,0.5
"env=cup-catch,regime=clean",2,-0.0176826,0.00689045,0.0830087,1,0.5
"env=finger-turn_hard,regime=chaos",6,23.9337,946.095,30.7587,5,0.833333
"env=finger-turn_hard,regime=clean",6,5.80954,79.1889,8.89881,4,0.666667
"env=fish-swim,regime=clean",3,-7.05135,75.1301,8.66776,1,0.333333
"env=hopper-hop,regime=chaos",6,5.50594,1518.36,38.9661,2,0.333333
"env=hopper-hop,regime=clean",6,-2.14707,974.403,31.2154,3,0.5
"env=pendulum-swingup,regime=chaos",2,31.6721,2807.05,52.9816,1,0.5
"env=pendulum-swingup,regime=clean",1,-0.0352533,0,0,0,0
"env=quadruped-run,regime=chaos",6,7.00169,363.35,19.0618,4,0.666667
"env=quadruped-run,regime=clean",6,0.17072,9.92773,3.15083,3,0.5
"env=reacher-hard,regime=chaos",1,-33.3333,0,0,0,0
"env=reacher-hard,regime=clean",2,2.8918,15.4935,3.93618,2,1
"env=walker-run,regime=chaos",6,3.5393,23.0744,4.80359,5,0.833333
"env=walker-run,regime=clean",6,-0.634413,0.527656,0.726399,1,0.166667
