profile,phase,delay,mean_eval_return,normalized_eval_auc,median_deployed_horizon,switches
b1,clean_i,0,833.2000054253472,830.6812553405762,2.0,0
b1,delay_2,2,646.970002746582,647.02222527398,2.0,0
b1,delay_6,6,102.05000028610229,99.45000065697565,2.0,0
b1,delay_4,4,197.64999523162842,180.6333293914795,2.0,0
b1,clean_ii,0,824.718184037642,829.4350006103516,2.0,0
b2,clean_i,0,835.066663953993,832.6562461853027,3.0,0
b2,delay_2,2,577.470004272461,573.8555603027344,3.0,0
b2,delay_6,6,70.98000030517578,71.30555597941081,3.0,0
b2,delay_4,4,150.11000137329103,156.41666793823242,3.0,0
b2,clean_ii,0,831.281815962358,834.0199981689453,3.0,0
b3,clean_i,0,833.1666598849827,830.6812438964844,2.0,0
b3,delay_2,2,570.3899929046631,594.6888809204102,2.0,0
b3,delay_6,6,86.63999938964844,86.77777735392253,6.0,0
b3,delay_4,4,107.6100009918213,106.60000101725261,4.0,0
b3,clean_ii,0,766.1181862571023,765.3750061035156,2.0,0
b4,clean_i,0,832.4333224826389,829.8749885559082,2.0,0
b4,delay_2,2,497.58000297546386,492.0944463941786,3.0,0
b4,delay_6,6,96.57000007629395,89.16111119588216,7.0,0
b4,delay_4,4,104.23000001907349,103.46666632758246,5.0,0
b4,clean_ii,0,819.8454534357244,820.9349975585938,2.0,0
b5,clean_i,0,832.455552842882,829.8687477111816,2.0,0
b5,delay_2,2,666.7399993896485,652.9888882107205,2.5,1
b5,delay_6,6,97.37000045776367,95.9444448682997,3.0,0
b5,delay_4,4,325.6499988555908,332.98333189222546,2.0,0
b5,clean_ii,0,837.2909046519886,840.2599975585938,4.0,1
